Date,Open,High,Low,Close,Adj Close,Volume
2020-09-16,245.00,319.00,231.11,253.93,253.93,36099700
2020-09-17,230.76,241.50,215.24,227.54,227.54,11907500
2020-09-18,235.00,249.00,218.59,240.00,240.00,7475400
2020-09-21,230.00,241.50,218.60,228.85,228.85,5524900
2020-09-22,238.50,239.00,225.15,235.16,235.16,3889100
2020-09-23,243.50,254.80,213.00,217.39,217.39,5851900
2020-09-24,213.51,230.95,208.55,226.74,226.74,4822000
2020-09-25,228.12,236.26,227.90,229.00,229.00,1985500
2020-09-28,235.93,253.00,235.93,250.41,250.41,4241900
2020-09-29,255.00,259.70,246.03,259.13,259.13,5290600
2020-09-30,261.50,278.26,243.05,251.00,251.00,5418900
2020-10-01,255.25,255.91,238.00,243.46,243.46,3977400
2020-10-02,232.44,243.12,227.00,227.10,227.10,2726200
2020-10-05,231.97,243.43,231.20,240.00,240.00,2362100
2020-10-06,244.18,247.99,239.00,245.10,245.10,1572800
2020-10-07,245.50,252.36,245.29,246.00,246.00,1682800
2020-10-08,250.00,250.00,239.99,240.19,240.19,1343800
2020-10-09,242.00,243.70,235.47,238.00,238.00,1728000
2020-10-12,250.32,251.50,243.00,243.97,243.97,3138900
2020-10-13,247.00,250.50,245.27,249.61,249.61,1462400
2020-10-14,251.99,252.00,239.00,243.18,243.18,1707500
2020-10-15,236.03,241.35,231.46,241.00,241.00,1843600
2020-10-16,242.00,245.99,241.59,242.52,242.52,1016000
2020-10-19,245.00,249.86,243.00,246.78,246.78,1535100
2020-10-20,247.00,252.50,243.30,251.77,251.77,1734300
2020-10-21,251.65,271.29,250.35,270.61,270.61,3359500
2020-10-22,269.01,301.00,263.00,297.09,297.09,5192800
2020-10-23,290.34,294.00,262.24,265.05,265.05,5619300
2020-10-26,266.07,271.00,244.63,251.39,251.39,4040100
2020-10-27,254.89,273.00,253.99,266.77,266.77,3492900
2020-10-28,258.50,272.53,254.01,272.44,272.44,2094300
2020-10-29,273.80,276.22,264.16,265.88,265.88,1146900
2020-10-30,261.03,262.63,241.50,250.02,250.02,2397600
2020-11-02,254.10,260.83,247.00,252.23,252.23,1301000
2020-11-03,256.00,264.54,254.05,262.13,262.13,1376400
2020-11-04,270.79,274.87,262.20,263.91,263.91,1394700
2020-11-05,271.48,271.69,258.90,263.21,263.21,1272500
2020-11-06,263.44,270.00,259.20,265.00,265.00,986800
2020-11-09,263.99,265.95,239.00,239.84,239.84,2965900
2020-11-10,249.65,249.94,229.98,235.68,235.68,2266800
2020-11-11,241.71,246.89,237.50,240.76,240.76,1442400
2020-11-12,243.80,244.20,232.16,235.38,235.38,1741200
2020-11-13,237.11,241.62,232.30,234.80,234.80,1487700
2020-11-16,234.00,244.18,230.25,241.85,241.85,1799500
2020-11-17,245.00,251.56,243.73,248.03,248.03,1629600
2020-11-18,253.00,262.27,250.74,260.54,260.54,2202300
2020-11-19,259.21,268.57,253.25,264.00,264.00,1592100
2020-11-20,269.00,273.17,264.00,266.00,266.00,1592000
2020-11-23,267.10,274.15,259.10,274.15,274.15,1347600
2020-11-24,275.10,283.39,267.49,282.10,282.10,1730600
2020-11-25,277.78,309.77,277.30,303.02,303.02,2912100
2020-11-27,310.00,334.62,309.73,328.79,328.79,3293800
2020-11-30,338.38,342.00,312.13,325.84,325.84,3550400
2020-12-01,321.63,326.00,302.28,305.64,305.64,2651800
2020-12-02,293.79,306.74,288.00,292.69,292.69,3575300
2020-12-03,290.54,343.00,289.00,339.89,339.89,11102600
2020-12-04,335.40,395.80,334.00,387.70,387.70,18611700
2020-12-07,393.50,404.43,371.00,388.96,388.96,8134900
2020-12-08,388.80,429.00,386.25,390.00,390.00,11511700
2020-12-09,393.40,406.99,361.01,371.26,371.26,8980200
2020-12-10,362.00,390.07,360.61,373.28,373.28,4906300
2020-12-11,360.40,369.10,347.26,353.96,353.96,6362600
2020-12-14,352.49,357.98,327.16,329.15,329.15,6977100
2020-12-15,308.98,329.00,303.54,328.61,328.61,20379200
2020-12-16,328.43,338.89,320.09,329.97,329.97,6427700
