Date,Open,High,Low,Close,Adj Close,Volume
2013-10-02,23.05,25.65,22.61,25.01,25.01,15051500
2013-10-03,25.10,26.44,24.56,24.86,24.86,1125900
2013-10-04,24.90,26.46,24.51,25.89,25.89,808600
2013-10-07,26.16,27.90,25.91,26.77,26.77,575900
2013-10-08,26.90,27.00,25.38,25.90,25.90,363500
2013-10-09,25.64,26.10,25.14,25.52,25.52,410100
2013-10-10,26.04,26.63,24.52,25.98,25.98,394300
2013-10-11,25.98,26.77,25.51,26.68,26.68,159700
2013-10-14,26.40,27.72,26.00,27.53,27.53,241100
2013-10-15,27.40,27.82,26.78,27.71,27.71,158900
2013-10-16,28.00,28.00,27.08,27.26,27.26,169700
2013-10-17,27.37,27.67,26.69,26.82,26.82,143000
2013-10-18,26.85,27.00,26.24,26.43,26.43,362900
2013-10-21,26.00,27.25,26.00,26.41,26.41,85200
2013-10-22,26.00,26.85,25.68,26.25,26.25,215800
2013-10-23,25.98,26.84,25.55,25.75,25.75,182400
2013-10-24,25.75,26.01,25.52,26.01,26.01,86200
2013-10-25,25.86,26.52,25.86,26.43,26.43,116700
2013-10-28,26.27,26.84,25.87,26.75,26.75,121100
2013-10-29,26.65,27.18,26.10,26.86,26.86,94500
2013-10-30,26.50,27.10,26.16,26.87,26.87,63000
2013-10-31,27.06,27.06,26.47,26.79,26.79,79900
2013-11-01,26.93,27.26,26.54,27.16,27.16,82600
2013-11-04,27.18,27.99,27.00,27.16,27.16,135700
2013-11-05,27.53,27.53,26.87,27.07,27.07,175300
2013-11-06,27.18,27.72,26.91,26.95,26.95,262400
2013-11-07,27.03,27.60,26.78,26.92,26.92,241600
2013-11-08,27.04,27.42,26.15,27.17,27.17,84700
2013-11-11,27.41,27.95,26.61,27.05,27.05,434900
2013-11-12,26.96,29.19,26.96,27.75,27.75,294000
2013-11-13,27.78,29.39,27.07,28.94,28.94,576800
2013-11-14,29.52,30.22,29.00,29.84,29.84,429600
2013-11-15,30.32,30.36,29.50,30.18,30.18,147600
2013-11-18,30.37,30.53,29.24,29.45,29.45,247000
2013-11-19,29.27,29.99,29.04,29.79,29.79,46000
2013-11-20,29.77,30.59,29.25,29.90,29.90,420900
2013-11-21,30.14,30.77,29.37,29.37,29.37,148500
