Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,69.00,72.00,68.01,70.40,70.40,4218700
2015-01-05,71.23,71.30,67.06,67.63,67.63,4534700
2015-01-06,67.93,67.99,63.02,64.67,64.67,3749400
2015-01-07,65.01,66.76,63.51,66.65,66.65,2122600
2015-01-08,67.95,69.69,67.13,67.69,67.69,2510300
2015-01-09,68.45,68.45,66.61,67.11,67.11,933900
2015-01-12,67.39,67.99,64.80,65.52,65.52,1259200
2015-01-13,65.74,67.59,63.61,65.02,65.02,1228400
2015-01-14,64.65,65.45,63.11,64.59,64.59,980700
2015-01-15,64.23,64.94,63.60,64.39,64.39,1246800
2015-01-16,64.02,66.42,63.81,65.81,65.81,1392900
2015-01-20,65.75,68.20,65.23,67.96,67.96,1096200
2015-01-21,67.61,70.80,67.57,68.84,68.84,1451600
2015-01-22,69.54,70.68,67.03,70.61,70.61,1332400
2015-01-23,70.72,74.34,70.57,73.37,73.37,1677100
2015-01-26,72.40,74.00,72.30,73.15,73.15,1571800
2015-01-27,73.00,73.88,71.50,73.75,73.75,1246700
2015-01-28,75.00,78.05,74.22,75.50,75.50,3063000
2015-01-29,72.70,75.88,72.20,75.76,75.76,2636700
2015-01-30,74.64,75.26,73.31,73.87,73.87,1623400
2015-02-02,73.08,74.00,66.88,68.72,68.72,3348300
2015-02-03,68.74,70.00,67.05,68.52,68.52,2551800
2015-02-04,67.53,69.40,66.76,68.33,68.33,1499600
2015-02-05,67.66,68.73,66.50,67.39,67.39,1322900
2015-02-06,67.50,68.50,65.53,65.89,65.89,1302200
2015-02-09,65.20,65.82,63.35,63.74,63.74,1562800
2015-02-10,63.87,65.12,63.67,65.02,65.02,1306600
2015-02-11,64.93,65.65,63.17,64.75,64.75,1096600
2015-02-12,65.63,66.33,65.00,66.20,66.20,1159000
2015-02-13,66.35,70.27,65.63,70.03,70.03,1870200
2015-02-17,70.00,70.00,68.06,69.44,69.44,974000
2015-02-18,69.15,70.00,67.31,67.54,67.54,1056700
2015-02-19,67.00,68.17,65.25,65.30,65.30,1225400
2015-02-20,65.57,65.77,64.04,65.17,65.17,1462900
2015-02-23,65.16,65.88,64.30,65.05,65.05,889600
2015-02-24,65.36,69.35,65.20,69.34,69.34,1700200
2015-02-25,68.95,69.28,66.60,67.21,67.21,965200
2015-02-26,68.00,71.72,67.89,71.53,71.53,2116400
2015-02-27,70.75,71.43,69.20,69.40,69.40,1400900
2015-03-02,69.39,70.80,68.80,69.35,69.35,1127900
2015-03-03,69.36,70.96,68.35,70.84,70.84,1508900
2015-03-04,70.23,73.25,70.11,72.02,72.02,1396500
2015-03-05,72.20,75.16,72.02,74.51,74.51,1621900
2015-03-06,73.41,74.50,72.75,72.98,72.98,988100
2015-03-09,73.24,75.45,73.13,74.83,74.83,1076500
2015-03-10,74.13,74.31,71.74,72.15,72.15,1365500
2015-03-11,72.67,73.60,72.05,72.95,72.95,1039500
2015-03-12,73.34,74.35,72.92,73.42,73.42,794800
2015-03-13,73.35,73.99,71.80,72.57,72.57,761900
2015-03-16,74.21,76.75,74.00,76.33,76.33,1822400
2015-03-17,76.16,78.12,75.90,77.71,77.71,1824300
2015-03-18,77.86,80.80,77.69,79.96,79.96,2272900
2015-03-19,81.52,82.27,79.21,80.38,80.38,1886000
2015-03-20,81.44,81.50,79.69,80.80,80.80,4741000
2015-03-23,81.15,84.19,81.07,84.09,84.09,2000600
2015-03-24,84.60,85.63,82.66,83.21,83.21,1792300
2015-03-25,83.55,83.79,75.52,77.13,77.13,3728800
2015-03-26,73.50,77.75,72.10,77.19,77.19,3005900
2015-03-27,77.63,80.69,77.51,79.28,79.28,2634900
2015-03-30,80.22,81.40,79.71,81.40,81.40,1820400
2015-03-31,80.93,81.00,78.55,79.70,79.70,2006900
2015-04-01,78.53,79.30,77.81,78.80,78.80,1430200
2015-04-02,79.20,79.20,76.67,77.79,77.79,1603800
2015-04-06,76.88,77.15,75.20,76.51,76.51,1613600
2015-04-07,77.08,77.69,72.73,73.23,73.23,2251100
2015-04-08,73.80,75.20,72.51,72.84,72.84,2108000
2015-04-09,72.71,74.90,71.22,74.63,74.63,1385100
2015-04-10,75.61,75.93,72.76,73.58,73.58,1315300
2015-04-13,73.79,75.12,72.11,72.63,72.63,1242800
2015-04-14,72.38,73.17,69.30,70.50,70.50,2457100
2015-04-15,71.00,72.00,69.37,70.91,70.91,1714600
2015-04-16,70.80,71.50,68.61,71.46,71.46,1495500
2015-04-17,70.70,71.11,69.61,70.07,70.07,1177600
2015-04-20,70.40,72.35,70.40,72.01,72.01,1216900
2015-04-21,72.50,74.26,72.01,74.07,74.07,1159700
2015-04-22,74.25,74.54,73.06,74.48,74.48,817900
2015-04-23,73.93,73.95,71.55,73.27,73.27,1121000
2015-04-24,73.08,73.10,69.70,70.12,70.12,1633000
2015-04-27,69.93,71.69,68.90,69.37,69.37,1512900
2015-04-28,69.97,70.31,65.44,67.86,67.86,2043700
2015-04-29,67.59,69.00,66.51,68.65,68.65,994200
2015-04-30,68.47,68.85,65.80,65.91,65.91,1632000
2015-05-01,66.80,69.61,66.68,69.60,69.60,1708100
2015-05-04,69.85,70.50,68.66,68.99,68.99,1621600
2015-05-05,68.51,69.22,66.02,67.07,67.07,1532600
2015-05-06,67.70,69.40,66.50,69.06,69.06,2131900
2015-05-07,77.63,78.00,73.21,75.56,75.56,4721300
2015-05-08,76.38,77.97,76.21,76.56,76.56,1991600
2015-05-11,75.99,76.00,73.84,74.56,74.56,1697700
2015-05-12,74.13,75.85,74.00,74.75,74.75,1381600
2015-05-13,75.35,76.10,74.33,74.96,74.96,804100
2015-05-14,75.17,77.21,75.04,76.98,76.98,1556400
2015-05-15,76.70,77.14,75.83,76.54,76.54,1710700
2015-05-18,75.76,80.39,75.50,80.30,80.30,2668800
2015-05-19,80.75,81.89,79.40,80.10,80.10,1644100
2015-05-20,79.80,81.99,79.40,81.15,81.15,1213500
2015-05-21,81.15,81.85,79.79,81.26,81.26,1937800
2015-05-22,82.00,84.64,82.00,84.03,84.03,3054900
2015-05-26,83.44,83.73,81.39,82.46,82.46,2157300
2015-05-27,82.96,86.75,82.70,86.40,86.40,2806100
2015-05-28,86.21,86.33,82.06,82.30,82.30,2310500
2015-05-29,82.87,84.33,82.03,82.15,82.15,2769600
2015-06-01,82.50,83.36,80.09,80.94,80.94,2210400
2015-06-02,80.59,80.96,79.00,80.86,80.86,1703800
2015-06-03,81.35,81.91,80.90,81.55,81.55,2263400
2015-06-04,80.68,82.10,80.08,81.32,81.32,1203800
2015-06-05,81.06,83.85,80.12,83.70,83.70,1801100
2015-06-08,83.42,83.77,79.75,80.24,80.24,2180100
2015-06-09,80.51,81.00,77.60,80.05,80.05,2807700
2015-06-10,81.38,82.74,80.29,82.50,82.50,6108700
2015-06-11,82.49,83.00,81.65,82.00,82.00,28866300
2015-06-12,81.99,83.70,81.75,83.51,83.51,2641000
2015-06-15,82.51,82.99,82.05,82.18,82.18,2640800
2015-06-16,82.22,84.99,82.11,84.75,84.75,2476500
2015-06-17,84.81,85.07,83.09,84.56,84.56,1893600
2015-06-18,84.63,85.46,83.62,84.65,84.65,2013000
2015-06-19,84.89,86.28,84.33,85.25,85.25,2833100
2015-06-22,86.27,88.35,85.86,87.81,87.81,2663900
2015-06-23,87.90,87.96,84.85,85.31,85.31,2469400
2015-06-24,85.13,85.88,84.56,84.59,84.59,1488600
2015-06-25,84.75,85.86,84.75,84.98,84.98,1391300
2015-06-26,84.85,85.00,79.66,80.41,80.41,20596300
2015-06-29,78.75,81.69,77.83,79.06,79.06,2892500
2015-06-30,80.00,81.00,78.58,80.27,80.27,1955200
2015-07-01,81.25,82.25,80.01,80.36,80.36,1639100
2015-07-02,80.72,81.55,80.20,81.36,81.36,1151400
2015-07-06,80.33,81.93,78.59,79.99,79.99,2121600
2015-07-07,80.29,80.43,74.36,79.95,79.95,3085800
2015-07-08,77.43,77.45,74.48,74.68,74.68,3271800
2015-07-09,76.30,77.27,74.33,74.63,74.63,2010600
2015-07-10,75.22,76.50,73.71,76.16,76.16,2365800
2015-07-13,77.17,78.21,75.24,76.61,76.61,1397400
2015-07-14,77.14,78.52,76.93,77.96,77.96,1047500
2015-07-15,78.60,79.10,77.43,77.88,77.88,1050700
2015-07-16,78.07,80.52,77.70,80.24,80.24,1501000
2015-07-17,80.14,80.79,78.10,78.86,78.86,1327600
2015-07-20,78.50,79.58,76.50,76.70,76.70,2117600
2015-07-21,76.22,77.95,75.41,77.45,77.45,1692300
2015-07-22,72.55,74.88,71.01,74.17,74.17,3345600
2015-07-23,74.71,77.22,74.44,75.24,75.24,1777400
2015-07-24,76.51,77.17,72.20,72.28,72.28,1951500
2015-07-27,71.45,71.45,69.01,69.94,69.94,1926400
2015-07-28,70.50,71.08,68.50,70.75,70.75,1371700
2015-07-29,70.33,70.85,68.94,70.47,70.47,2562700
2015-07-30,60.65,62.35,57.10,60.49,60.49,10331400
2015-07-31,60.61,60.79,57.64,57.95,57.95,4389300
2015-08-03,57.52,58.61,56.55,57.52,57.52,3662900
2015-08-04,56.68,58.14,54.37,55.06,55.06,5794800
2015-08-05,55.16,56.83,54.25,54.83,54.83,4186000
2015-08-06,54.73,54.83,50.80,51.83,51.83,3198800
2015-08-07,51.54,53.07,51.00,52.20,52.20,1874100
2015-08-10,53.18,55.10,53.17,54.53,54.53,2160600
2015-08-11,53.50,54.91,53.13,53.86,53.86,2311300
2015-08-12,52.74,57.60,51.71,56.96,56.96,3350700
2015-08-13,57.23,59.68,55.84,58.32,58.32,3508200
2015-08-14,57.58,58.68,56.31,58.24,58.24,2517100
2015-08-17,57.71,58.43,57.35,58.28,58.28,1251400
2015-08-18,57.60,57.94,55.85,55.93,55.93,1585700
2015-08-19,55.90,56.85,55.01,55.59,55.59,1819900
2015-08-20,54.61,55.35,52.23,52.36,52.36,2399500
2015-08-21,51.83,51.99,49.86,49.99,49.99,3704000
2015-08-24,45.50,51.07,45.00,48.50,48.50,3978200
2015-08-25,51.79,52.97,49.78,49.81,49.81,2656100
2015-08-26,51.67,52.97,49.77,52.75,52.75,2351000
2015-08-27,54.13,55.89,54.02,54.74,54.74,2540700
2015-08-28,54.37,55.92,54.22,55.79,55.79,1758000
2015-08-31,54.79,56.28,54.17,55.51,55.51,2092800
2015-09-01,53.89,55.94,53.12,53.45,53.45,2299300
2015-09-02,54.75,55.44,53.51,54.82,54.82,1925100
2015-09-03,55.00,58.36,54.86,56.57,56.57,2281100
2015-09-04,55.29,56.64,54.72,55.79,55.79,1332200
2015-09-08,57.04,58.40,56.68,58.19,58.19,1411300
2015-09-09,58.54,59.45,56.05,56.55,56.55,2079900
2015-09-10,56.98,57.16,53.61,53.98,53.98,2971300
2015-09-11,53.77,54.38,52.61,53.52,53.52,1532000
2015-09-14,54.10,54.50,52.91,53.49,53.49,1539900
2015-09-15,53.86,54.08,51.73,52.73,52.73,1825700
2015-09-16,52.64,53.28,51.30,51.74,51.74,1621700
2015-09-17,51.49,52.66,51.21,51.39,51.39,1528300
2015-09-18,50.70,51.73,49.77,50.73,50.73,3070100
2015-09-21,50.97,51.35,49.80,49.90,49.90,1527000
2015-09-22,49.27,49.82,47.19,47.37,47.37,2027100
2015-09-23,47.95,49.81,47.80,48.06,48.06,1479200
2015-09-24,47.66,47.96,45.88,46.77,46.77,1784400
2015-09-25,47.50,49.15,47.01,47.68,47.68,1714100
2015-09-28,46.52,46.97,43.14,43.25,43.25,3174700
2015-09-29,43.01,44.67,42.73,43.57,43.57,1548100
2015-09-30,44.23,45.47,44.04,45.05,45.05,1912100
2015-10-01,44.46,44.63,42.43,43.63,43.63,2323900
2015-10-02,42.88,44.98,42.24,44.96,44.96,1406800
2015-10-05,45.35,45.86,44.60,44.77,44.77,1159000
2015-10-06,44.83,45.04,42.67,44.28,44.28,1699500
2015-10-07,44.74,45.73,44.18,45.55,45.55,1635000
2015-10-08,45.25,45.43,43.68,45.26,45.26,1396500
2015-10-09,45.03,46.28,44.91,45.66,45.66,1027000
2015-10-12,45.85,46.73,45.24,46.43,46.43,1263800
2015-10-13,46.00,46.20,43.94,44.14,44.14,1550000
2015-10-14,44.43,46.97,44.20,46.50,46.50,2130500
2015-10-15,47.06,48.79,46.88,48.31,48.31,1891000
2015-10-16,48.44,48.44,46.53,47.32,47.32,961500
2015-10-19,47.29,47.71,46.29,46.85,46.85,845400
2015-10-20,47.18,48.25,46.66,48.20,48.20,1179400
2015-10-21,48.48,48.90,47.84,48.50,48.50,1377000
2015-10-22,49.25,50.81,48.81,49.55,49.55,1460800
2015-10-23,50.11,51.62,49.00,51.50,51.50,1303500
2015-10-26,50.89,50.95,46.43,46.76,46.76,1924600
2015-10-27,46.25,46.75,45.25,45.89,45.89,1693300
2015-10-28,47.00,47.07,44.50,45.17,45.17,2344300
2015-10-29,43.90,45.17,43.49,43.81,43.81,1587800
2015-10-30,44.07,44.80,43.65,43.93,43.93,1312100
2015-11-02,44.13,45.60,43.96,45.27,45.27,1222700
2015-11-03,44.94,46.28,44.60,45.71,45.71,3059200
2015-11-04,45.86,47.05,45.27,46.57,46.57,1717700
2015-11-05,46.79,46.86,44.35,45.08,45.08,2526700
2015-11-06,50.60,55.83,50.51,55.55,55.55,5237000
2015-11-09,55.17,55.18,53.08,54.09,54.09,1769600
2015-11-10,52.00,52.98,51.30,52.29,52.29,2671700
