Date,Open,High,Low,Close,Adj Close,Volume
2014-10-09,32.95,32.99,29.07,30.10,30.10,8259700
2014-10-10,30.00,30.25,28.00,29.05,29.05,1619600
2014-10-13,29.10,29.23,25.79,27.25,27.25,423100
2014-10-14,27.26,29.85,26.95,29.84,29.84,228800
2014-10-15,29.41,29.60,27.12,27.50,27.50,273300
2014-10-16,26.96,30.72,26.56,30.17,30.17,331600
2014-10-17,31.00,31.23,30.01,30.66,30.66,103200
2014-10-20,30.97,31.20,30.31,31.20,31.20,85100
2014-10-21,31.30,31.30,29.61,30.20,30.20,170800
2014-10-22,30.50,30.57,29.97,30.02,30.02,84700
2014-10-23,30.00,32.29,30.00,31.70,31.70,138400
2014-10-24,31.65,33.42,31.42,32.11,32.11,189400
2014-10-27,32.25,33.50,32.12,33.06,33.06,183800
2014-10-28,33.50,34.50,32.07,33.85,33.85,115400
2014-10-29,34.00,34.59,33.31,34.32,34.32,97200
2014-10-30,34.60,34.92,33.25,34.45,34.45,159300
2014-10-31,34.91,36.00,34.08,35.63,35.63,168800
2014-11-03,36.13,36.13,34.05,34.94,34.94,259600
2014-11-04,35.25,36.59,35.25,36.51,36.51,164800
2014-11-05,36.00,36.76,35.48,36.42,36.42,197600
2014-11-06,36.45,36.58,36.16,36.29,36.29,112400
2014-11-07,36.18,37.58,35.61,36.70,36.70,162400
2014-11-10,36.70,37.55,35.62,36.52,36.52,140100
2014-11-11,36.70,37.04,36.04,36.37,36.37,84700
2014-11-12,36.02,36.34,35.22,35.41,35.41,107800
2014-11-13,37.15,38.60,36.50,36.69,36.69,267000
2014-11-14,37.60,37.81,36.06,37.00,37.00,130000
2014-11-17,37.21,37.39,35.79,36.87,36.87,123900
2014-11-18,36.82,37.18,36.30,36.86,36.86,117000
2014-11-19,36.95,36.95,34.26,35.89,35.89,206100
2014-11-20,35.85,36.10,35.41,36.04,36.04,63900
2014-11-21,36.10,36.59,35.68,36.19,36.19,122600
2014-11-24,36.63,37.45,36.02,36.69,36.69,369900
2014-11-25,36.63,36.79,35.76,35.80,35.80,157000
2014-11-26,35.77,36.12,35.00,35.50,35.50,91800
2014-11-28,35.20,35.50,34.98,35.39,35.39,39800
2014-12-01,35.12,35.21,33.34,34.05,34.05,139300
2014-12-02,34.27,34.53,32.93,33.59,33.59,183700
2014-12-03,33.77,33.83,32.09,32.53,32.53,143500
2014-12-04,32.47,32.99,32.31,32.79,32.79,135200
2014-12-05,32.89,33.45,32.61,33.31,33.31,84700
2014-12-08,33.03,34.14,33.03,33.99,33.99,113400
2014-12-09,33.25,34.98,33.07,34.74,34.74,129000
2014-12-10,34.43,35.25,33.81,34.15,34.15,97700
2014-12-11,34.56,35.26,33.00,33.52,33.52,92800
