Date,Open,High,Low,Close,Adj Close,Volume
2018-10-12,24.25,24.70,21.46,24.30,24.30,15086200
2018-10-15,23.12,24.50,22.18,24.30,24.30,1572200
2018-10-16,24.50,24.66,22.57,23.02,23.02,1297300
2018-10-17,22.76,26.97,22.75,25.43,25.43,1149900
2018-10-18,26.07,26.20,24.01,24.50,24.50,1639600
2018-10-19,24.75,25.96,24.06,24.48,24.48,280100
2018-10-22,24.42,25.25,24.13,24.51,24.51,194900
2018-10-23,24.01,24.50,23.55,23.90,23.90,458800
2018-10-24,23.64,24.33,22.50,22.55,22.55,677600
2018-10-25,22.75,24.10,22.63,23.87,23.87,482400
2018-10-26,23.59,26.39,22.80,24.61,24.61,458700
2018-10-29,24.95,25.58,22.15,22.64,22.64,422500
2018-10-30,22.75,23.13,20.37,22.61,22.61,936700
2018-10-31,23.00,23.60,22.32,23.00,23.00,383700
2018-11-01,23.06,24.49,21.72,24.05,24.05,436200
2018-11-02,23.93,24.96,23.25,24.74,24.74,420100
2018-11-05,24.74,24.97,22.90,23.92,23.92,227300
2018-11-06,23.68,24.39,23.02,23.70,23.70,222400
2018-11-07,23.80,27.30,23.80,26.61,26.61,553100
2018-11-08,26.63,27.07,25.75,25.75,25.75,261400
2018-11-09,25.65,25.65,23.60,24.22,24.22,354000
2018-11-12,24.03,24.21,22.40,22.72,22.72,452300
2018-11-13,22.75,23.05,22.13,22.69,22.69,228200
2018-11-14,22.75,23.42,22.60,22.93,22.93,144800
2018-11-15,22.98,23.28,22.44,23.04,23.04,279000
2018-11-16,22.86,24.48,22.77,24.13,24.13,366400
2018-11-19,24.17,24.45,21.60,22.97,22.97,723400
2018-11-20,22.61,22.61,20.60,21.00,21.00,583300
2018-11-21,21.33,21.55,20.87,20.95,20.95,472700
2018-11-23,21.00,21.80,20.77,21.46,21.46,153400
2018-11-26,21.76,22.57,21.14,22.40,22.40,418900
2018-11-27,22.32,22.52,21.71,22.50,22.50,290600
2018-11-28,24.23,25.00,20.79,25.00,25.00,1329400
2018-11-29,24.68,26.65,24.42,26.14,26.14,435300
2018-11-30,26.05,28.33,25.49,28.00,28.00,518200
2018-12-03,28.55,29.70,26.55,27.96,27.96,818400
2018-12-04,27.72,28.06,26.78,27.66,27.66,556200
2018-12-06,27.00,29.15,26.62,28.83,28.83,651700
2018-12-07,28.85,29.22,27.48,27.53,27.53,646300
2018-12-10,27.44,28.20,26.20,27.30,27.30,525100
2018-12-11,27.88,28.00,25.21,25.50,25.50,658000
2018-12-12,25.91,26.59,24.86,25.67,25.67,717900
2018-12-13,25.88,27.36,25.88,26.75,26.75,479000
2018-12-14,26.27,28.11,25.78,27.90,27.90,448200
2018-12-17,27.74,27.74,24.81,25.14,25.14,778600
2018-12-18,25.16,26.24,24.94,25.77,25.77,407100
2018-12-19,25.58,26.20,24.63,24.88,24.88,571100
2018-12-20,24.52,25.39,23.37,25.10,25.10,899300
2018-12-21,25.17,25.17,23.97,24.63,24.63,2859300
2018-12-24,24.51,24.61,23.65,24.41,24.41,101800
2018-12-26,24.69,26.42,24.57,26.23,26.23,247600
2018-12-27,25.94,27.13,25.34,27.04,27.04,242600
2018-12-28,27.15,27.46,26.01,27.17,27.17,292500
2018-12-31,27.30,27.99,26.00,26.54,26.54,713700
2019-01-02,26.15,26.46,25.13,25.91,25.91,718700
2019-01-03,25.59,25.81,23.83,24.00,24.00,472300
2019-01-04,24.34,24.90,23.78,24.10,24.10,434500
2019-01-07,24.37,26.30,24.25,26.00,26.00,522800
2019-01-08,26.30,27.46,26.17,27.20,27.20,355400
2019-01-09,27.33,28.14,27.18,27.80,27.80,331900
2019-01-10,27.70,28.09,27.00,27.90,27.90,186700
2019-01-11,27.71,28.85,27.35,28.55,28.55,373200
2019-01-14,28.34,28.45,26.25,26.36,26.36,776800
2019-01-15,26.79,29.24,26.53,28.92,28.92,1010100
2019-01-16,29.30,29.63,28.03,28.73,28.73,309300
2019-01-17,28.52,29.24,28.10,28.70,28.70,198900
2019-01-18,28.90,30.45,28.50,29.80,29.80,767200
2019-01-22,29.60,29.90,28.30,29.15,29.15,291300
2019-01-23,29.17,30.10,28.97,30.00,30.00,361800
2019-01-24,30.02,30.18,29.33,29.98,29.98,278100
2019-01-25,30.33,31.85,29.95,31.80,31.80,515200
2019-01-28,31.45,31.61,30.14,30.75,30.75,517000
2019-01-29,31.07,31.23,29.57,29.68,29.68,278600
2019-01-30,29.86,30.70,29.40,30.20,30.20,227800
2019-01-31,30.27,31.75,30.20,31.39,31.39,259700
2019-02-01,31.44,31.61,30.43,30.99,30.99,238300
2019-02-04,31.00,31.93,30.69,30.97,30.97,350200
2019-02-05,31.20,33.14,30.98,32.04,32.04,558100
2019-02-06,32.06,32.63,30.79,31.50,31.50,285900
2019-02-07,31.24,31.59,30.48,31.37,31.37,260900
2019-02-08,30.60,32.08,29.90,31.76,31.76,515400
2019-02-11,31.92,32.73,31.07,31.26,31.26,319000
2019-02-12,31.72,32.92,31.66,32.73,32.73,357900
2019-02-13,32.93,33.33,31.93,32.47,32.47,159200
2019-02-14,32.29,33.14,32.06,32.90,32.90,236700
2019-02-15,33.22,34.21,32.64,33.95,33.95,491500
2019-02-19,34.07,34.20,32.85,32.91,32.91,323400
2019-02-20,33.00,33.80,32.68,32.75,32.75,320000
2019-02-21,32.75,33.11,31.80,32.52,32.52,339900
2019-02-22,33.06,34.47,32.78,33.39,33.39,749500
2019-02-25,38.01,39.66,35.76,36.83,36.83,2584500
2019-02-26,36.71,38.86,35.58,38.03,38.03,686300
2019-02-27,38.03,40.75,38.03,39.12,39.12,1096100
2019-02-28,38.83,39.69,37.28,37.51,37.51,728500
2019-03-01,37.86,40.00,37.11,39.83,39.83,887900
2019-03-04,40.28,40.50,37.88,38.36,38.36,676200
2019-03-05,38.36,39.26,38.13,38.78,38.78,247200
2019-03-06,38.85,38.93,37.20,37.30,37.30,507100
2019-03-07,37.19,37.56,36.13,36.56,36.56,425100
2019-03-08,35.80,37.39,35.62,37.25,37.25,321000
2019-03-11,37.89,39.34,37.55,38.73,38.73,576200
2019-03-12,38.79,39.83,38.49,39.18,39.18,309500
2019-03-13,39.46,39.69,38.08,38.88,38.88,515200
2019-03-14,38.80,40.81,38.63,40.68,40.68,696700
2019-03-15,41.00,41.42,39.43,40.49,40.49,826100
2019-03-18,40.77,41.20,38.26,39.10,39.10,811000
2019-03-19,39.28,39.74,38.20,38.73,38.73,363500
2019-03-20,38.73,39.48,36.47,38.31,38.31,556000
2019-03-21,38.20,41.17,38.12,40.45,40.45,507400
2019-03-22,40.21,40.65,38.39,38.97,38.97,527300
2019-03-25,38.67,40.98,38.27,40.47,40.47,643100
2019-03-26,41.10,41.76,40.17,40.63,40.63,535100
2019-03-27,40.93,40.99,37.92,40.00,40.00,435800
2019-03-28,40.15,41.16,39.06,39.65,39.65,459500
2019-03-29,39.56,40.20,39.13,39.36,39.36,466900
2019-04-01,40.00,40.63,37.85,38.05,38.05,992000
2019-04-02,38.06,38.83,37.38,38.45,38.45,840200
2019-04-03,38.81,39.70,38.37,38.83,38.83,647700
2019-04-04,38.78,39.13,36.20,37.10,37.10,692100
2019-04-05,36.33,36.79,34.89,35.24,35.24,1693900
2019-04-08,35.09,35.19,33.59,35.07,35.07,925900
2019-04-09,35.03,35.90,34.50,35.79,35.79,905300
2019-04-10,34.93,36.52,34.00,35.23,35.23,9627300
2019-04-11,35.51,36.00,34.80,35.55,35.55,3388300
2019-04-12,35.99,36.16,35.30,35.69,35.69,1776700
2019-04-15,35.65,36.00,35.16,35.52,35.52,907900
2019-04-16,35.75,36.54,35.50,36.31,36.31,1427200
2019-04-17,36.22,36.22,34.91,35.24,35.24,2188800
2019-04-18,35.03,35.27,33.83,35.20,35.20,1479000
2019-04-22,35.09,35.56,34.50,35.52,35.52,1163100
2019-04-23,35.50,37.17,34.81,37.12,37.12,1934100
2019-04-24,37.00,37.85,36.30,37.37,37.37,1275200
2019-04-25,37.35,38.40,37.02,37.31,37.31,2616000
2019-04-26,37.57,39.10,36.84,38.81,38.81,1894700
2019-04-29,39.01,39.05,38.16,38.47,38.47,876900
2019-04-30,38.42,39.84,38.26,39.37,39.37,1088000
2019-05-01,38.89,39.19,37.97,37.97,37.97,1509100
2019-05-02,38.00,38.99,37.03,38.86,38.86,836300
2019-05-03,38.99,39.88,38.70,39.78,39.78,1397000
2019-05-06,38.55,40.00,38.50,39.95,39.95,1825300
2019-05-07,39.57,40.00,38.95,39.21,39.21,1338700
2019-05-08,39.00,39.53,38.38,38.87,38.87,3249200
2019-05-09,38.34,40.00,37.63,39.86,39.86,1624700
2019-05-10,39.37,39.98,38.10,39.75,39.75,1983000
2019-05-13,38.77,38.77,36.32,36.69,36.69,1795300
2019-05-14,37.16,38.38,37.06,37.74,37.74,969500
2019-05-15,37.21,38.49,36.62,37.98,37.98,1528600
2019-05-16,38.23,39.53,38.00,39.44,39.44,1421200
2019-05-17,38.79,39.36,38.01,38.28,38.28,815600
2019-05-20,37.86,38.17,36.87,37.65,37.65,519300
2019-05-21,38.02,38.62,37.88,38.46,38.46,860300
2019-05-22,38.01,39.24,37.77,38.61,38.61,1217500
2019-05-23,38.08,38.40,37.22,38.02,38.02,1391900
2019-05-24,38.17,38.86,37.11,37.11,37.11,2576000
2019-05-28,41.33,44.90,39.65,43.87,43.87,9560900
2019-05-29,42.31,42.69,40.50,42.33,42.33,10157700
2019-05-30,42.33,42.83,41.41,42.29,42.29,2185400
2019-05-31,42.09,44.25,40.60,43.51,43.51,4212500
2019-06-03,43.59,44.16,41.59,41.84,41.84,3262600
2019-06-04,42.50,43.40,40.26,42.87,42.87,2315600
2019-06-05,43.90,44.68,43.40,44.63,44.63,3117200
2019-06-06,43.30,47.72,43.28,47.38,47.38,4353500
2019-06-07,47.03,48.41,46.27,48.01,48.01,4795500
2019-06-10,48.50,50.66,48.27,48.31,48.31,2864000
2019-06-11,46.86,48.07,46.22,47.11,47.11,2911100
2019-06-12,46.60,47.45,46.10,46.75,46.75,1982500
2019-06-13,47.55,49.71,47.45,48.48,48.48,3257600
2019-06-14,47.30,48.86,46.38,48.49,48.49,2998500
2019-06-17,48.70,49.71,47.50,49.56,49.56,2207700
2019-06-18,50.00,52.35,49.90,50.68,50.68,3662700
2019-06-19,50.00,51.15,49.51,51.06,51.06,3753700
2019-06-20,51.90,53.00,50.87,51.35,51.35,3405400
2019-06-21,50.93,51.03,49.90,50.86,50.86,2908300
2019-06-24,50.98,51.10,48.71,50.53,50.53,2822000
2019-06-25,49.98,50.45,48.89,49.53,49.53,3074400
2019-06-26,49.79,50.82,49.03,49.33,49.33,2200700
2019-06-27,49.82,50.08,48.94,49.68,49.68,1896000
2019-06-28,49.67,50.68,49.11,50.47,50.47,6646200
2019-07-01,53.02,53.18,49.96,50.37,50.37,3070100
2019-07-02,50.78,52.49,50.24,52.40,52.40,2377900
2019-07-03,52.41,53.19,51.87,52.44,52.44,914300
2019-07-05,52.29,53.47,51.45,52.97,52.97,1176600
2019-07-08,52.47,53.46,52.28,53.16,53.16,1284700
2019-07-09,53.00,55.22,52.77,55.10,55.10,2230600
2019-07-10,56.00,56.51,55.53,56.43,56.43,1921800
