Date,Open,High,Low,Close,Adj Close,Volume
2012-06-29,23.75,24.75,22.83,24.60,24.60,10922400
2012-07-02,24.75,25.20,24.10,24.77,24.77,656700
2012-07-03,24.85,25.32,24.60,25.31,25.31,401100
2012-07-05,25.50,26.26,25.14,25.96,25.96,541000
2012-07-06,25.75,26.12,25.10,25.84,25.84,355100
2012-07-09,25.96,26.30,25.18,25.27,25.27,152400
2012-07-10,25.22,25.69,25.05,25.05,25.05,304000
2012-07-11,25.02,25.35,23.49,23.74,23.74,296500
2012-07-12,23.30,24.47,22.62,24.08,24.08,325500
2012-07-13,24.69,24.92,23.98,24.18,24.18,89100
2012-07-16,24.08,24.56,23.80,24.38,24.38,118100
2012-07-17,24.48,24.48,23.93,24.27,24.27,227500
2012-07-18,24.43,24.69,24.00,24.23,24.23,103800
2012-07-19,24.67,24.67,23.90,24.00,24.00,254500
2012-07-20,24.04,25.23,23.90,25.23,25.23,260900
2012-07-23,25.01,25.01,23.91,24.35,24.35,603400
2012-07-24,24.83,25.96,24.60,24.84,24.84,291500
2012-07-25,25.06,25.47,24.84,24.93,24.93,110800
2012-07-26,24.93,25.35,24.00,24.42,24.42,158000
2012-07-27,24.48,25.44,24.32,25.33,25.33,100100
2012-07-30,25.25,25.45,25.05,25.39,25.39,84300
2012-07-31,25.44,27.56,25.41,27.00,27.00,284000
2012-08-01,27.32,27.98,26.76,27.71,27.71,111900
2012-08-02,27.50,29.30,27.00,29.08,29.08,556900
2012-08-03,29.43,31.43,28.58,28.67,28.67,431000
2012-08-06,29.00,29.16,27.23,28.02,28.02,583800
2012-08-07,28.30,28.75,27.79,28.00,28.00,198000
2012-08-08,27.91,27.91,27.01,27.57,27.57,296700
2012-08-09,27.48,30.02,27.30,29.51,29.51,135500
2012-08-10,29.37,32.00,29.37,31.65,31.65,220000
2012-08-13,32.03,32.55,31.72,32.43,32.43,214900
2012-08-14,32.65,33.96,32.20,32.28,32.28,552400
2012-08-15,32.11,32.11,29.47,29.68,29.68,467800
2012-08-16,30.06,30.57,29.60,29.75,29.75,300500
2012-08-17,30.00,30.04,29.44,29.60,29.60,389300
2012-08-20,29.55,29.95,29.55,29.89,29.89,277700
2012-08-21,30.19,30.61,29.95,30.26,30.26,196700
2012-08-22,30.27,30.52,29.83,29.85,29.85,617800
2012-08-23,29.93,30.67,28.81,29.03,29.03,292200
2012-08-24,28.79,29.94,28.79,29.70,29.70,145600
2012-08-27,29.70,31.31,29.13,29.27,29.27,260000
2012-08-28,29.27,29.70,29.05,29.32,29.32,152500
2012-08-29,29.39,29.79,29.25,29.49,29.49,116600
2012-08-30,29.24,31.00,29.03,29.78,29.78,186500
2012-08-31,30.24,31.50,29.92,31.10,31.10,286000
2012-09-04,31.11,33.84,31.11,33.67,33.67,332800
2012-09-05,33.66,34.33,33.01,34.19,34.19,331700
2012-09-06,34.20,36.08,34.11,36.06,36.06,396200
2012-09-07,36.50,37.31,35.62,36.55,36.55,411000
2012-09-10,37.00,37.00,34.24,34.39,34.39,457300
2012-09-11,34.80,35.17,32.84,33.01,33.01,288500
2012-09-12,33.54,35.44,33.26,35.05,35.05,350500
2012-09-13,35.13,38.32,34.71,37.51,37.51,460400
2012-09-14,37.88,39.33,37.72,39.06,39.06,724100
2012-09-17,39.00,39.77,38.03,38.19,38.19,812300
2012-09-18,38.65,38.65,36.38,36.80,36.80,678000
2012-09-19,36.88,38.73,36.84,38.65,38.65,406300
2012-09-20,38.50,38.63,37.18,38.00,38.00,739400
2012-09-21,38.48,39.83,38.10,39.63,39.63,353400
2012-09-24,39.90,40.70,38.58,40.37,40.37,378700
2012-09-25,40.90,41.77,39.61,39.99,39.99,605400
2012-09-26,39.85,39.85,36.77,38.08,38.08,853900
2012-09-27,38.40,40.33,38.40,40.04,40.04,478800
2012-09-28,39.99,39.99,36.16,38.68,38.68,1582500
2012-10-01,37.98,38.14,34.62,36.48,36.48,903900
2012-10-02,36.07,36.75,35.59,36.50,36.50,586700
2012-10-03,36.53,37.68,36.52,37.03,37.03,283100
2012-10-04,36.70,37.20,36.70,37.15,37.15,145700
2012-10-05,37.20,37.45,36.50,37.00,37.00,449500
2012-10-08,36.60,36.66,35.97,36.53,36.53,251400
2012-10-09,36.61,36.80,35.78,36.00,36.00,505300
2012-10-10,35.95,36.06,34.62,34.78,34.78,446000
2012-10-11,35.01,35.29,34.36,34.50,34.50,267300
2012-10-12,34.83,34.83,32.89,33.32,33.32,597700
2012-10-15,32.88,34.91,32.80,34.51,34.51,754800
2012-10-16,34.64,34.64,33.70,34.31,34.31,503300
2012-10-17,34.33,35.46,34.02,34.77,34.77,684500
2012-10-18,34.77,34.88,34.50,34.79,34.79,261500
2012-10-19,34.80,35.48,33.90,34.35,34.35,534600
2012-10-22,34.45,34.50,32.54,33.44,33.44,721200
2012-10-23,33.32,34.86,32.61,34.56,34.56,440100
2012-10-24,34.56,35.77,34.04,35.65,35.65,604600
2012-10-25,35.65,37.59,30.71,31.39,31.39,1953900
2012-10-26,31.68,32.98,31.39,31.89,31.89,601700
2012-10-31,32.11,32.74,30.12,30.65,30.65,568900
2012-11-01,31.33,31.64,29.55,31.04,31.04,788600
2012-11-02,31.23,32.73,30.61,32.14,32.14,450200
2012-11-05,32.15,32.58,31.16,32.28,32.28,345100
2012-11-06,32.41,33.53,32.18,32.95,32.95,462300
2012-11-07,32.53,32.73,31.00,31.25,31.25,532700
2012-11-08,30.87,31.59,30.68,30.90,30.90,288000
2012-11-09,30.91,31.55,29.71,30.07,30.07,410200
2012-11-12,30.00,30.99,29.52,29.66,29.66,537300
2012-11-13,30.49,30.49,28.38,29.48,29.48,551000
2012-11-14,30.39,30.60,28.15,28.71,28.71,502900
2012-11-15,28.34,31.98,28.28,31.79,31.79,7050800
2012-11-16,33.43,34.50,29.45,30.35,30.35,1798600
2012-11-19,30.52,31.44,28.82,31.06,31.06,1238600
2012-11-20,30.93,33.75,30.71,31.67,31.67,981200
2012-11-21,31.03,32.17,29.88,31.18,31.18,1658500
2012-11-23,31.18,31.20,30.51,30.77,30.77,186700
2012-11-26,28.61,30.86,28.61,30.50,30.50,790800
2012-11-27,30.53,30.80,29.20,30.30,30.30,1097400
2012-11-28,30.52,31.38,29.98,31.21,31.21,446200
2012-11-29,31.55,32.82,31.11,32.30,32.30,715800
2012-11-30,32.23,33.02,31.08,32.63,32.63,2460400
2012-12-03,31.38,32.65,31.16,32.04,32.04,1012200
2012-12-04,31.98,32.39,29.75,30.19,30.19,1279000
2012-12-05,30.49,30.49,28.52,29.41,29.41,1314800
2012-12-06,29.39,29.65,29.09,29.47,29.47,651500
2012-12-07,29.50,29.62,28.87,29.30,29.30,373900
2012-12-10,29.42,29.75,29.25,29.45,29.45,191000
2012-12-11,29.66,30.24,29.38,29.83,29.83,471900
2012-12-12,30.03,31.28,29.41,30.63,30.63,834600
